volatile acidity,citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,sulphates,alcohol,quality
0.67,0.26,0.401,16,51,1.14,9.4,5
0.3,0.48,0.069,18,61,0.78,10.3,6
0.55,0.15,0.076,19,40,0.59,10.1,5
0.49,0.28,0.11,20,136,1.95,9.9,6
0.49,0.26,0.062,9,31,0.64,9.6,5
0.39,0.44,0.107,34,125,1.22,9.5,5
0.62,0.08,0.076,8,24,0.53,9,5
0.52,0.26,0.079,42,140,0.54,9.5,5
0.49,0.28,0.11,20,136,1.95,9.9,6
0.49,0.29,0.11,19,133,1.98,9.8,5
0.49,0.26,0.062,9,31,0.64,9.6,5
1.02,0.04,0.045,41,85,0.48,10.5,4
0.6,0.17,0.058,17,106,0.6,12.9,6
0.775,0,0.102,8,23,0.56,10.7,5
0.5,0.25,0.07,3,22,0.63,9.2,5
0.9,0.06,0.079,5,10,0.56,9.8,5
0.545,0.18,0.08,13,35,0.59,9,6
0.61,0.3,0.084,11,50,0.61,10.2,6
0.5,0.3,0.075,8,22,0.56,10.4,6
0.545,0.18,0.08,13,35,0.59,9,6
0.575,0.22,0.077,12,65,0.51,9.2,5
0.49,0.24,0.07,5,36,0.48,9.4,5
0.575,0.22,0.077,12,65,0.51,9.2,5
0.41,0.68,0.467,18,69,1.31,9.3,5
0.63,0.31,0.088,15,64,0.79,9.3,5
0.33,0.53,0.091,18,80,0.8,9.6,6
0.785,0.52,0.122,37,153,0.69,9.3,5
0.56,0.19,0.104,12,47,0.93,9.5,5
0.62,0.09,0.084,11,108,0.66,9.8,5
0.6,0.1,0.085,14,111,0.66,9.8,5
0.31,0.44,0.08,22,46,0.67,9.7,6
0.56,0.19,0.104,12,47,0.93,9.5,5
0.4,0.31,0.09,13,62,0.63,10.5,6
0.54,0.28,0.077,11,40,0.61,10,6
0.56,0.12,0.082,7,28,0.5,9.4,6
0.55,0.04,0.119,14,56,0.6,10.9,6
0.69,0.08,0.097,22,89,0.54,9.2,6
1.07,0.09,0.178,10,89,0.57,9,5
0.55,0.04,0.119,14,56,0.6,10.9,6
0.695,0,0.075,3,13,0.52,9.2,5
0.71,0,0.08,11,34,0.53,9.5,5
0.5,0.17,0.082,21,102,0.48,9.5,5
0.62,0.04,0.146,27,90,0.7,9.4,5
1.33,0,0.081,3,12,0.49,10.9,5
1.33,0,0.082,3,12,0.48,10.9,5
0.59,0.16,0.065,3,16,0.92,10.5,7
0.38,0.15,0.072,6,19,0.57,9.4,5
0.745,0.56,0.118,30,134,0.66,9.4,5
0.5,0.09,0.049,17,99,0.63,13,5
0.5,0.09,0.049,17,99,0.63,13,5
0.5,0.01,0.06,17,26,0.58,9.8,6
1.04,0.05,0.084,13,29,0.55,9.9,6
0.745,0.11,0.09,16,63,0.82,9.6,5
0.715,0.15,0.089,10,52,0.77,9.5,5
0.415,0.36,0.081,13,45,0.64,9.2,5
0.56,0.19,0.081,15,105,0.54,9.5,5
0.56,0.19,0.081,17,108,0.54,9.5,5
0.745,0.11,0.09,16,63,0.82,9.6,5
0.715,0.15,0.089,10,52,0.77,9.5,5
0.34,0,0.05,27,63,0.79,14,6
0.39,0.08,0.066,3,20,0.58,9.4,5
0.34,0,0.05,27,63,0.79,14,6
0.67,0.55,0.117,32,141,0.62,9.4,5
0.68,0.02,0.087,21,94,0.52,10,5
0.49,0.26,0.236,10,88,0.8,9.3,5
0.49,0.1,0.074,12,30,0.58,10.2,6
0.4,0.44,0.089,11,43,0.61,10.5,6
0.33,0.47,0.077,5,11,0.53,10.3,6
0.52,1,0.61,32,69,2,9.4,4
0.6,0.03,0.095,25,99,0.54,10.1,5
0.6,0.03,0.095,25,99,0.54,10.1,5
0.43,0.42,0.07,29,129,0.72,10.5,5
0.43,0.42,0.071,28,128,0.71,10.5,5
0.43,0.42,0.07,29,129,0.72,10.5,5
0.43,0.42,0.071,28,128,0.71,10.5,5
0.68,0,0.073,12,22,0.5,9.3,5
0.6,0.18,0.079,18,86,0.57,9.3,6
0.95,0.03,0.09,7,20,0.56,9.6,5
0.68,0.02,0.072,9,20,1.08,9.2,4
0.53,0.04,0.076,17,31,0.56,10,6
0.6,0.26,0.07,36,121,0.49,9.4,5
0.59,0.26,0.07,35,121,0.49,9.4,5
0.63,0.48,0.1,14,96,0.62,9.5,5
0.64,0.1,0.085,18,101,0.52,10.2,5
0.55,0.03,0.072,17,42,0.48,9,4
0.63,0.07,0.089,11,44,0.55,10.4,6
0.705,0.24,0.36,15,63,1.59,9.5,5
0.885,0.03,0.058,4,8,0.33,9.1,4
0.42,0.17,0.073,6,18,0.61,9.2,6
0.42,0.17,0.073,6,18,0.61,9.2,6
0.62,0.05,0.068,24,42,0.57,11.5,6
0.38,0.21,0.08,7,35,0.47,9.5,5
0.5,0.04,0.085,19,49,0.78,9.5,5
0.38,0.21,0.08,7,35,0.47,9.5,5
0.52,0.42,0.087,8,38,0.61,10.5,6
0.805,0,0.068,7,20,0.56,9.6,5
0.61,0.14,0.067,10,42,0.59,9.5,5
0.61,0.14,0.067,10,42,0.59,9.5,5
0.61,0.49,0.27,23,110,1.02,9.3,5
0.73,0.02,0.076,16,42,0.52,9.3,5
0.61,0.2,0.077,11,65,0.58,9.3,5
0.62,0.21,0.079,8,62,0.58,9.3,6
0.31,0.57,0.111,26,85,0.53,9.7,5
0.39,0.48,0.082,14,67,0.55,9.2,5
0.705,0.1,0.084,9,26,0.49,9.7,5
0.5,0.33,0.084,15,143,0.55,9.5,5
0.49,0.32,0.082,17,144,0.55,9.5,5
0.5,0.35,0.077,21,127,0.62,9.4,5
0.37,0.25,0.074,21,49,0.62,9.8,6
0.63,0.12,0.099,16,126,0.61,9.5,5
0.55,0.21,0.071,7,28,0.55,9.7,5
0.55,0.21,0.071,7,28,0.55,9.7,5
0.59,0.33,0.074,24,120,0.54,9.4,5
0.58,0.3,0.074,15,55,0.59,10.2,5
0.3,0.6,0.067,12,27,0.97,10.1,6
0.835,0.08,0.046,13,93,0.85,13,7
1.09,0.06,0.061,12,31,0.43,11.4,4
0.32,0.47,0.056,9,24,0.82,10.3,7
0.37,0.48,0.097,39,145,1.03,9.3,5
0.5,0.11,0.075,16,49,0.79,9.5,5
0.42,0.35,0.088,16,39,0.55,9.2,5
0.43,0.36,0.089,14,37,0.56,9.2,6
0.3,0.74,0.095,9,28,0.77,10.8,7
0.3,0.74,0.095,9,28,0.77,10.8,7
0.57,0.31,0.069,26,120,0.53,9.3,5
0.44,0.28,0.1,18,95,0.67,9.4,5
0.3,0.58,0.054,7,19,0.88,10.5,7
0.53,0.6,0.039,5,19,0.86,12.4,6
0.725,0.24,0.083,10,62,0.56,10,6
0.44,0.64,0.059,5,15,0.67,10.2,6
0.57,0.26,0.06,28,65,0.43,10.1,5
0.735,0.08,0.092,10,41,0.71,9.8,6
0.49,0.49,0.06,26,121,0.76,10.5,5
0.625,0.16,0.101,13,49,0.57,11,5
0.725,0.22,0.072,11,41,0.55,9.1,5
0.49,0.19,0.076,10,44,0.54,9.7,5
0.53,0.33,0.08,24,144,0.6,9.5,5
0.34,0.37,0.082,24,58,0.59,9.4,6
0.53,0.26,0.101,16,72,0.57,9.4,5
0.61,0.04,0.057,5,10,0.6,9.5,5
0.645,0.25,0.083,8,28,0.6,10,6
0.635,0.36,0.089,15,55,0.57,10.4,4
0.43,0.25,0.073,29,63,0.58,10.5,6
0.59,0.5,0.337,27,81,1.61,9.5,6
0.82,0.14,0.089,9,23,0.63,9.8,5
0.43,0.25,0.073,29,63,0.58,10.5,6
0.52,0.25,0.081,10,37,0.5,11,5
0.48,0.04,0.054,19,106,0.62,12.2,7
0.38,0.06,0.078,12,49,0.52,9.9,6
0.37,0.2,0.09,18,58,0.7,9.6,6
0.52,0.25,0.081,10,37,0.5,11,5
1,0.09,0.065,7,37,0.55,9,6
0.63,0,0.097,14,38,0.58,9,6
0.63,0,0.097,14,38,0.58,9,6
0.645,0,0.097,15,39,0.58,9.2,6
0.63,0,0.097,14,38,0.58,9,6
1,0.09,0.065,7,37,0.55,9,6
0.635,0.37,0.263,5,62,1.09,9.3,5
0.38,0.56,0.093,6,24,0.71,10.9,6
0.58,0.1,0.102,28,109,0.49,9.8,6
0.21,0.44,0.075,10,24,0.84,9.2,7
0.21,0.44,0.075,10,24,0.84,9.2,7
0.66,0,0.084,6,23,0.96,9.9,6
0.68,0.07,0.075,16,51,0.52,9.5,5
0.6,0.17,0.072,11,73,0.45,9.3,5
0.53,0.06,0.074,9,39,0.48,9.8,6
0.66,0,0.084,6,23,0.96,9.9,6
0.32,0.44,0.063,16,37,0.78,10,6
0.6,0,0.074,16,34,0.7,9.9,6
0.35,0.48,0.09,5,21,0.53,10.5,5
0.775,0.42,0.092,8,86,0.59,9.5,5
0.6,0,0.074,16,34,0.7,9.9,6
0.57,0.23,0.073,17,119,0.57,9.3,5
0.34,0.37,0.075,5,13,0.62,9.2,5
0.695,0,0.075,12,56,0.67,9.2,5
0.41,0.76,0.611,8,45,1.26,9.4,5
0.31,0.47,0.085,14,33,0.8,10.5,7
0.33,0.23,0.077,18,45,0.65,9.3,5
0.975,0.04,0.087,12,67,0.6,9.4,4
0.52,0.03,0.07,10,35,0.57,10,5
0.37,0.23,0.077,23,49,0.67,9.3,5
0.56,0.49,0.064,5,27,0.87,10.9,5
0.26,0.52,0.071,6,10,0.72,10.2,7
0.87,0,0.096,26,61,0.72,9.8,4
0.35,0.46,0.078,15,37,0.86,12.8,8
0.54,0.04,0.077,7,27,0.91,9.4,6
0.18,0.51,0.104,4,23,0.97,10.1,6
0.545,0.06,0.087,27,61,0.67,10.7,6
0.18,0.51,0.104,4,23,0.97,10.1,6
0.37,0.58,0.071,17,65,0.78,10.1,5
0.715,0.2,0.076,10,38,0.64,9.4,5
0.65,0.18,0.088,27,94,0.77,9.4,5
0.545,0.06,0.087,27,61,0.67,10.7,6
0.54,0.04,0.077,7,27,0.91,9.4,6
0.18,0.51,0.104,4,23,0.97,10.1,6
0.32,0.45,0.073,5,13,0.82,12.6,8
0.4,0.32,0.087,10,47,0.77,10.5,7
0.26,0.44,0.071,6,19,0.82,9.3,6
0.27,0.68,0.358,5,10,1.08,9.9,7
0.52,0.12,0.067,12,53,0.57,9.1,5
0.4,0.32,0.087,10,47,0.77,10.5,7
0.59,0.07,0.102,32,71,0.71,9.8,5
0.59,0.07,0.102,32,71,0.71,9.8,5
0.45,0.55,0.073,25,49,0.76,10.3,6
0.4,0.12,0.092,29,53,0.7,10.3,6
0.52,0.09,0.091,20,49,0.86,10.6,7
0.42,0.53,0.105,33,98,0.95,9.2,5
0.52,0.09,0.091,20,49,0.86,10.6,7
0.2,0.48,0.343,6,18,0.71,10.5,5
0.55,0.23,0.091,18,48,0.64,10.3,6
0.36,0.25,0.098,5,16,0.6,10.1,6
0.34,0.52,0.094,17,53,0.81,9.5,6
0.5,0.46,0.073,5,27,0.64,9.5,5
0.83,0.37,0.086,26,70,0.52,9.9,5
0.63,0.06,0.083,8,29,0.73,9.6,5
0.65,0.02,0.094,5,31,0.8,9.7,5
0.67,0.06,0.08,8,33,0.71,9.6,5
0.53,0.06,0.086,20,44,0.59,10.7,6
0.18,0.48,0.068,7,15,0.64,10.1,6
0.705,0.12,0.092,12,28,0.72,10,5
0.67,0.12,0.186,5,21,0.54,9.5,5
0.65,0.6,0.112,12,90,0.52,9.2,5
0.53,0.48,0.063,6,25,0.59,9.3,6
0.62,0.32,0.082,7,54,0.52,9.4,5
0.41,0.42,0.213,6,14,0.62,9.5,6
0.43,0.44,0.214,5,12,0.63,9.5,6
0.29,0.38,0.062,9,30,0.53,9.5,6
0.53,0.48,0.063,6,25,0.59,9.3,6
0.53,0.24,0.072,15,105,0.54,9.4,6
0.46,0.31,0.093,19,98,0.63,9.5,6
0.47,0.3,0.076,30,135,0.53,9.4,5
0.36,0.29,0.087,26,72,0.68,11,5
0.35,0.29,0.096,20,53,0.65,11,6
0.56,0.23,0.102,37,92,0.65,10.1,5
0.77,0.12,0.082,30,74,0.64,10.4,6
0.66,0.39,0.083,21,59,0.71,11.5,7
0.77,0.12,0.082,30,74,0.64,10.4,6
0.66,0.39,0.083,21,59,0.71,11.5,7
0.61,0.26,0.09,25,87,0.62,9.7,5
0.62,0.05,0.079,6,18,0.63,9.3,5
0.59,0.42,0.09,35,73,0.7,9.5,6
0.49,0.2,0.071,13,50,0.69,9.2,6
0.49,0.2,0.071,13,50,0.69,9.2,6
0.53,0.66,0.121,6,14,0.74,11.5,7
0.44,0.5,0.107,5,13,0.83,11.5,5
0.27,0.62,0.082,6,21,0.67,9.7,6
0.46,0.39,0.061,7,15,0.62,9.5,5
0.36,0.64,0.122,10,41,0.66,12.5,6
0.36,0.64,0.122,10,41,0.66,12.5,6
0.58,0.28,0.066,21,114,0.54,9.4,6
0.56,0.08,0.105,16,44,0.52,11,5
0.65,0.01,0.078,17,38,0.74,11.7,7
0.695,0.53,0.128,7,21,0.84,12.2,7
0.43,0.45,0.052,6,16,0.7,12.5,6
0.43,0.32,0.08,29,58,0.64,10.3,5
0.49,0.58,0.103,28,99,1,11.5,6
0.28,0.54,0.082,12,29,1.36,9.8,7
0.34,0.5,0.066,10,21,1.18,9.2,6
0.42,0.48,0.065,5,18,0.87,11.3,6
0.39,0.47,0.118,6,14,0.75,9.8,6
0.39,0.47,0.118,6,14,0.75,9.8,6
0.57,0.5,0.082,6,32,0.78,10.7,6
0.685,0,0.067,40,63,0.81,9.9,5
0.815,0.02,0.072,17,34,0.89,12.3,7
0.49,0.67,0.093,6,15,0.93,12,6
0.56,0.31,0.089,15,46,0.92,10,6
0.785,0,0.093,11,28,0.86,9.4,6
0.67,0.22,0.107,17,34,0.98,9.9,6
0.795,0,0.096,11,26,0.83,9.4,6
0.665,0,0.09,8,19,0.73,9.3,5
0.53,0.79,0.12,23,77,0.77,13,5
0.21,0.4,0.066,40.5,165,0.59,11.9,6
0.75,0.01,0.078,17,32,0.61,12.8,6
0.41,0.52,0.08,29,55,0.88,11,5
0.42,0.66,0.116,12,29,0.75,11.7,7
0.43,0.66,0.109,10,23,0.85,10.4,7
0.38,0.66,0.088,10,41,0.68,9.8,6
0.7,0.23,0.099,14,81,0.7,9.4,5
0.45,0.31,0.086,21,50,0.91,9.9,6
0.58,0.66,0.072,6,37,0.56,10,5
0.46,0.63,0.071,6,15,0.87,10.2,5
0.615,0.66,0.083,7,42,0.73,10,7
0.42,0.5,0.107,7,21,0.93,11.8,6
0.615,0.66,0.083,7,42,0.73,10,7
0.575,0.61,0.076,11,24,0.69,9,5
0.34,0.52,0.159,15,75,0.64,9.4,5
0.27,0.53,0.074,6,18,1.13,12,7
0.765,0.02,0.063,35,63,0.78,9.9,5
0.24,0.4,0.056,11,25,0.87,8.7,6
0.28,0.48,0.067,26,46,1.04,10.6,6
0.55,0.22,0.106,12,72,0.63,9.2,5
0.41,0.63,0.089,6,47,0.81,10.8,6
0.54,0.71,0.124,6,15,0.83,11.8,7
0.45,0.5,0.078,19,47,1.11,11,6
0.27,0.53,0.074,6,18,1.13,12,7
0.625,0.66,0.088,6,24,0.99,13.3,6
0.42,0.38,0.094,24,60,0.7,10.8,6
0.26,0.42,0.08,11,27,0.8,9.4,6
0.415,0.68,0.085,17,43,0.8,10,6
0.26,0.42,0.08,11,27,0.8,9.4,6
0.26,0.42,0.08,11,27,0.8,9.4,6
0.51,0.28,0.087,23,54,0.74,9.2,5
0.63,0.07,0.09,11,37,0.76,9.7,6
0.54,0.26,0.088,23,48,0.74,9.2,6
0.66,0.15,0.079,17,42,0.54,9.6,6
0.46,0.26,0.088,23,53,0.74,9.2,6
0.38,0.31,0.096,16,49,0.7,10,7
0.85,0.05,0.045,12,88,0.82,12.9,8
0.415,0.68,0.085,17,43,0.8,10,6
0.37,0.52,0.082,6,26,0.51,9.5,5
0.665,0.61,0.112,13,95,0.54,9.1,5
0.6,0.65,0.063,6,25,0.57,9.9,5
0.37,0.76,0.066,7,38,0.6,13,7
0.735,0.02,0.122,68,124,0.53,9.9,5
0.59,0.59,0.087,13,49,0.65,11,6
0.59,0.59,0.087,13,49,0.65,11,6
0.765,0.22,0.064,9,42,0.55,9.4,5
0.735,0.02,0.122,68,124,0.53,9.9,5
0.26,0.3,0.059,20,38,0.47,10.8,6
0.48,0.54,0.085,19,64,0.61,10.5,6
0.6,0.49,0.085,10,41,0.63,10.5,6
0.69,0.05,0.075,15,27,0.61,9.1,5
0.31,0.46,0.059,11,25,0.76,10.1,6
0.44,0.47,0.063,9,28,0.65,10.8,6
0.39,0.66,0.093,12,30,0.63,10.8,7
0.34,0.58,0.174,6,16,0.7,11.3,6
0.46,0.49,0.07,26,49,0.57,9.6,4
0.43,0.34,0.08,26,86,0.62,9.5,6
0.45,0.35,0.08,23,78,0.62,9.5,5
0.735,0.16,0.1,15,77,0.64,9.3,5
0.4,0.53,0.097,6,19,0.82,11.7,7
0.52,0.34,0.087,24,122,0.61,9.5,5
0.725,0.24,0.117,31,134,1.07,9.3,5
0.48,0.64,0.111,6,20,0.66,11.7,6
0.58,0.12,0.091,34,124,0.48,10.5,5
0.38,0.51,0.121,7,20,0.76,10.4,6
0.77,0,0.066,34,52,0.68,9.9,5
0.56,0.33,0.089,35,67,0.73,11.8,7
0.84,0.03,0.059,32,48,0.56,12.3,7
0.96,0.2,0.047,15,60,0.44,10.9,5
0.24,0.47,0.066,6,24,0.9,11,7
0.96,0.2,0.047,15,60,0.44,10.9,5
0.84,0.03,0.059,32,48,0.56,12.3,7
0.67,0.08,0.045,19,48,0.49,11.4,6
0.78,0.22,0.077,6,32,0.56,10.6,6
0.52,0.33,0.07,9,30,0.6,9.3,5
0.84,0.63,0.088,13,35,0.6,10.4,6
0.24,0.47,0.066,6,24,0.9,11,7
0.55,0.35,0.074,21,66,0.56,9.2,5
0.37,0.69,0.078,12,24,0.65,12.8,6
0.39,0.63,0.091,6,18,0.49,9.5,5
0.41,0.55,0.076,22,54,0.89,9.9,6
0.39,0.63,0.091,6,18,0.49,9.5,5
0.67,0.3,0.06,38,62,0.56,10.2,6
0.45,0.73,0.066,6,22,0.66,11.2,6
0.41,0.55,0.076,22,54,0.89,9.9,6
0.62,0.18,0.062,7,50,0.6,9.3,5
0.31,0.72,0.072,6,29,0.82,9.8,8
0.4,0.65,0.068,7,27,0.68,11.3,6
0.685,0.76,0.1,6,43,0.68,11.2,7
0.44,0.49,0.077,11,19,0.63,11.6,7
0.57,0.01,0.054,5,27,0.84,12.5,7
0.735,0.1,0.079,6,31,0.56,10.1,6
0.38,0.6,0.081,31,72,0.73,10.5,5
0.48,0.29,0.127,6,16,0.72,11.2,5
0.53,0.22,0.1,7,27,0.56,10.2,6
0.39,0.69,0.095,17,35,0.61,10.8,6
0.39,0.69,0.095,17,35,0.61,10.8,6
0.37,0.53,0.413,9,26,1.06,9.1,6
0.56,0.03,0.084,18,35,0.63,10,6
0.33,0.63,0.084,5,22,0.74,11.2,7
0.23,0.4,0.063,21,67,0.63,11.1,5
0.62,0.67,0.086,6,19,0.69,13.4,8
0.59,0.39,0.095,5,22,0.58,10.3,5
0.63,0.21,0.097,29,65,0.58,9.6,5
0.33,0.63,0.084,5,22,0.74,11.2,7
0.58,0.66,0.074,10,47,0.57,9,3
0.43,0.52,0.083,14,23,0.61,11.3,6
0.615,0.22,0.087,6,19,0.61,9.3,5
0.26,0.68,0.085,10,25,0.61,11.8,5
0.66,0.7,0.098,25,129,0.53,9,5
0.315,0.54,0.084,5,15,0.7,9.2,6
0.29,0.4,0.098,10,26,0.91,9.7,5
0.5,0.42,0.069,21,51,0.72,11.5,6
0.46,0.45,0.065,7,18,0.79,14,6
0.36,0.69,0.09,6,21,0.62,9.2,6
0.82,0.02,0.07,36,48,0.58,9.8,5
0.32,0.65,0.093,15,47,0.61,10.6,5
0.54,0.42,0.081,25,52,0.71,11.4,6
0.37,0.55,0.083,25,68,0.82,10.4,6
0.35,0.55,0.062,5,14,0.79,10.6,5
0.28,0.51,0.08,10,24,0.89,9.4,6
0.68,0.24,0.087,5,28,0.6,10.2,5
0.27,0.41,0.091,6,16,0.7,9.7,5
0.24,0.49,0.075,6,20,1.06,11,6
0.68,0.24,0.087,5,28,0.6,10.2,5
0.685,0.11,0.077,6,31,0.7,10.1,6
0.28,0.39,0.069,6,23,0.66,9.2,5
0.3,0.56,0.08,6,17,0.92,11.7,8
0.36,0.59,0.152,6,18,1.05,9.4,5
0.36,0.6,0.152,7,18,1.06,9.4,5
0.44,0.68,0.114,6,24,0.66,13.4,6
0.67,0.39,0.054,6,17,0.47,10,5
0.67,0.39,0.054,6,17,0.47,10,5
0.645,0.36,0.053,5,14,0.42,10,6
0.32,0.55,0.081,35,67,0.92,10.8,7
0.39,0.4,0.073,10,26,0.75,10.2,6
0.775,0.27,0.078,24,56,0.67,10.6,6
0.41,0.5,0.055,12,25,0.79,13.3,7
0.4,0.51,0.052,13,27,0.9,13.4,7
0.69,0.31,0.086,23,81,0.74,11.6,6
0.39,0.23,0.051,28,91,0.55,12.1,6
0.35,0.53,0.07,5,16,0.65,11,8
0.52,0.25,0.081,14,38,0.65,9,6
0.34,0.32,0.09,43,113,0.79,11.1,5
0.35,0.53,0.07,5,16,0.65,11,8
0.69,0.31,0.086,23,81,0.74,11.6,6
0.52,0.25,0.081,14,38,0.65,9,6
0.44,0.73,0.074,38,76,0.85,12,7
0.44,0.73,0.074,38,76,0.85,12,7
0.26,0.47,0.078,6,24,1.04,10.9,7
0.24,0.42,0.077,6,22,1.05,10.8,7
0.49,0.63,0.072,10,26,0.78,12.5,7
0.24,0.46,0.075,6,21,1.02,10.8,7
0.67,0.55,0.084,6,13,0.71,9.5,6
0.59,0.31,0.09,26,62,0.63,10.2,6
0.29,0.75,0.084,23,43,0.68,11.4,7
0.42,0.49,0.073,19,43,0.61,9.5,5
0.59,0.31,0.09,26,62,0.63,10.2,6
0.4,0.48,0.125,15,49,0.81,9.7,6
0.51,0.64,0.107,6,15,0.66,11.8,7
0.51,0.64,0.107,6,15,0.66,11.8,7
0.655,0.49,0.122,34,151,1.14,9.3,5
0.6,0.49,0.1,5,14,0.74,11.9,6
0.61,0.49,0.2,5,16,0.63,8.4,3
0.21,0.49,0.088,11,32,0.68,11.7,6
0.365,0.49,0.088,39,106,0.78,11,5
0.25,0.49,0.088,15,33,0.9,10,6
0.41,0.49,0.088,16,43,0.64,9.1,5
0.39,0.49,0.099,47,133,0.99,9.8,5
0.4,0.49,0.085,38,142,0.55,9.4,5
0.43,0.49,0.086,23,116,0.64,9.5,5
0.64,0.24,0.105,29,53,0.67,9.9,5
0.365,0.49,0.088,39,106,0.78,11,5
0.38,0.49,0.097,33,85,0.77,11.4,6
0.42,0.49,0.084,32,55,0.75,8.7,6
0.63,0.24,0.077,6,33,0.57,9.4,5
0.22,0.24,0.078,1,28,0.87,10.3,6
0.38,0.49,0.098,12,42,0.61,10.3,5
0.38,0.49,0.098,12,42,0.61,10.3,5
0.27,0.24,0.072,15,33,0.66,12.8,6
0.48,0.24,0.102,13,32,0.56,10,6
0.22,0.24,0.078,1,28,0.87,10.3,6
0.63,0.24,0.077,6,33,0.57,9.4,5
0.825,0.24,0.084,5,13,0.77,10.7,6
0.35,0.49,0.066,5,35,0.66,12,7
0.5,0.74,0.1,5,17,0.62,11.2,5
0.59,0.24,0.101,20,47,0.67,9.6,5
0.46,0.49,0.064,5,17,0.73,11,6
0.715,0.24,0.07,5,20,0.59,9.9,5
